LOSSFILE	
FileFormatVersion	YLT_1.1
LossTableHeaderFormat	Manual Import
LossTableHeaderProducer	MAT-R
LossTableType	YLT
LossTableBasis	AM
CreateDate	2018-08-07
Model	Elements
ModelProvider	IF
ModelSystem	Elements
ModelSystemVersion	10.0.0.0
ModelSystemInstance	PRD
ResultsDatabaseName	IF_RES_2018_THFL
User	U000886
Simulation_Set_Id	7511
Peril	FL
Region	Thailand
Model_Version	10.0.0.0
ModelModule	DLM
Geo_Code	THA
SourceResultsReference	42
ResultsName	FPG_QS_SPL - FPG_QS_SPL
ResultsDescription	NA
Run_Date	2018-06-27
Run_Date	2018-06-27
Currency	THB
FinPerspective	GU
Years	100000
SimulationPeriodBasis	1
OccurrenceBasis	PerEvent
OEP2	0
OEP5	8169385
OEP10	131946097
OEP25	565116148
OEP50	1855095265
OEP100	2171342391
OEP200	2356876878
OEP250	2391373373
OEP500	2520814472
OEP1000	2683327326
OEP5000	2969410750
OEP10000	3104076686
AAL	86965188.90267
STD	352523451.318785
COV	4.05361565664306
#[HEADER-END]
EventID	Year	MM-DD(n)	Value
751100064	4060	08-01(0)	2392262957
751100064	17472	09-21(0)	2392262957
751100064	23189	06-11(0)	2392262957
751100064	54192	07-30(0)	2392262957
751100064	71421	06-08(0)	2392262957
751100064	80881	05-26(0)	2392262957
751100064	90632	07-30(0)	2392262957
751100067	2370	10-07(0)	2503191
751100067	21388	06-18(0)	2503191
751100067	33139	06-27(0)	2503191
751100067	46722	07-31(0)	2503191
751100067	93516	10-09(0)	2503191
751100069	17256	10-01(0)	8589796
751100069	26847	05-15(0)	8589796
751100069	56705	07-26(0)	8589796
751100069	60998	09-20(0)	8589796
751100071	11901	05-17(0)	6904651
751100071	23775	06-17(0)	6904651
751100071	37193	10-14(0)	6904651
751100071	41988	10-11(0)	6904651
751100071	57145	08-11(0)	6904651
751100071	62225	08-23(0)	6904651
751100071	74959	09-26(0)	6904651
751100072	50317	10-07(0)	19354571
751100072	89961	08-11(0)	19354571
751100075	2393	06-11(0)	49563413
751100075	14459	06-22(0)	49563413
751100075	15740	08-24(0)	49563413
751100075	72499	09-09(0)	49563413
751100076	10927	09-30(0)	16922201
751100076	18899	09-08(0)	16922201
751100076	58323	07-22(0)	16922201
751100076	87783	06-04(0)	16922201
751100077	4845	08-23(0)	1995372
751100077	13367	05-15(0)	1995372
751100077	23926	06-07(0)	1995372
751100077	26466	06-03(0)	1995372
751100077	51908	07-18(0)	1995372
751100077	58630	10-13(0)	1995372
751100077	70896	09-14(0)	1995372
751100077	84644	06-13(0)	1995372
751100079	45288	06-20(0)	1873068114
751100079	51701	05-16(0)	1873068114
751100079	75585	07-20(0)	1873068114
751100082	12221	06-09(0)	940441870
751100082	14108	07-04(0)	940441870
751100082	32452	09-11(0)	940441870
751100082	32470	10-08(0)	940441870
751100082	56063	10-13(0)	940441870
751100082	62088	07-16(0)	940441870
751100082	62561	09-15(0)	940441870
751100082	66687	08-30(0)	940441870
751100082	90536	08-22(0)	940441870
751100083	5555	07-23(0)	48256656
751100083	24024	05-16(0)	48256656
751100083	55176	07-17(0)	48256656
751100083	69535	07-07(0)	48256656
751100083	75559	07-14(0)	48256656
751100083	87695	07-01(0)	48256656
751100088	3386	06-28(0)	505817052
751100088	17937	07-15(0)	505817052
751100088	32615	07-23(0)	505817052
751100088	51165	07-28(0)	505817052
751100088	52832	08-07(0)	505817052
751100088	63210	08-22(0)	505817052
751100088	94452	06-02(0)	505817052
751100088	97756	07-04(0)	505817052
751100098	25866	09-06(0)	110678691
751100098	57184	06-04(0)	110678691
751100098	63128	06-21(0)	110678691
751100099	35069	10-10(0)	1906448562
751100099	47630	06-17(0)	1906448562
751100099	49687	05-29(0)	1906448562
751100099	95200	09-09(0)	1906448562
751100103	13553	05-31(0)	1774252
751100103	19972	07-08(0)	1774252
751100103	20809	07-27(0)	1774252
751100103	39822	08-10(0)	1774252
751100103	42380	08-04(0)	1774252
751100103	77098	08-24(0)	1774252
751100104	4386	09-30(0)	164962745
751100104	50503	06-12(0)	164962745
751100104	59149	09-28(0)	164962745
751100104	60738	08-25(0)	164962745
